timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain
2020-11-24 17:00:44.878565,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1
2020-11-24 17:00:45.288833,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1
2020-11-24 17:00:45.701472,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
2020-11-24 17:00:46.111775,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
2020-11-24 17:00:47.347079,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1
2020-11-24 17:00:47.757051,26,9,0,10,10,2.742337624271511,6,6,7,3.5,2,192,13,1
2020-11-24 17:00:48.169528,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
2020-11-24 17:00:48.580097,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
2020-11-24 17:00:49.815316,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1
2020-11-24 17:00:50.225903,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1
2020-11-24 17:00:50.638588,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
2020-11-24 17:00:51.049013,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
2020-11-24 17:00:52.284249,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,2,192,14,1
2020-11-24 17:00:52.695023,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,2,192,14,1
2020-11-24 17:00:53.107362,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1
2020-11-24 17:00:53.517600,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,2,192,14,1
2020-11-24 17:00:53.930082,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
2020-11-24 17:00:54.340309,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,4,224,11,1
